xbj,t,Q^2,Ebeam(k0),ReH,ImH,ReE,ImE,ReHt,ImHt,ReEt,ImEt
0.343,-0.172,1.820,5.75,0.920187,2.33291,1.12656,0.871898,1.27602,0.790627,0,0
0.368,-0.232,1.933,5.75,1.44589,2.01287,1.70719,0.720555,1.77774,0.693699,0,0
0.375,-0.278,1.964,5.75,1.59378,1.88386,1.83167,0.655859,1.85252,0.648754,0,0
0.379,-0.323,1.986,5.75,1.67206,1.78855,1.88592,0.606899,1.87044,0.613196,0,0
0.381,-0.371,1.999,5.75,1.92372,1.69705,2.12587,0.561264,2.06927,0.579187,0,0
